Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",Color Group
Air Force Blue (Raf),#5d8aa8,93,138,168,204.0,30.1,51.2,Cyan Sedang
Air Force Blue (Usaf),#00308f,0,48,143,219.9,100.0,28.0,Biru Gelap
Air Superiority Blue,#72a0c1,114,160,193,205.1,38.9,60.2,Cyan Muda
Alabama Crimson,#a32638,163,38,56,351.4,62.2,39.4,Merah Sedang
Alice Blue,#f0f8ff,240,248,255,208.0,100.0,97.1,Putih
Alizarin Crimson,#e32636,227,38,54,354.9,77.1,52.0,Merah Sedang
Alloy Orange,#c46210,196,98,16,27.3,84.9,41.6,Merah Sedang
Almond,#efdecd,239,222,205,30.0,51.5,87.1,Oranye Terang
Amaranth,#e52b50,229,43,80,348.1,78.2,53.3,Merah Sedang
Amber,#ffbf00,255,191,0,44.9,100.0,50.0,Oranye Sedang
Amber (Sae/Ece),#ff7e00,255,126,0,29.6,100.0,50.0,Merah Sedang
American Rose,#ff033e,255,3,62,346.0,100.0,50.6,Merah Sedang
Amethyst,#96c,153,102,204,270.0,50.0,60.0,Ungu Muda
Android Green,#a4c639,164,198,57,74.5,55.3,50.0,Kuning Sedang
Anti-Flash White,#f2f3f4,242,243,244,210.0,8.3,95.3,Putih
Antique Brass,#cd9575,205,149,117,21.8,46.8,63.1,Oranye Muda
Antique Fuchsia,#915c83,145,92,131,315.8,22.4,46.5,Magenta Sedang
Antique Ruby,#841b2d,132,27,45,349.7,66.0,31.2,Merah Gelap
Antique White,#faebd7,250,235,215,34.3,77.8,91.2,Oranye Terang
Ao (English),#008000,0,128,0,120.0,100.0,25.1,Hijau Gelap
Apple Green,#8db600,141,182,0,73.5,100.0,35.7,Kuning Sedang
Apricot,#fbceb1,251,206,177,23.5,90.2,83.9,Oranye Terang
Aqua,#0ff,0,255,255,180.0,100.0,50.0,Cyan Muda
Aquamarine,#7fffd4,127,255,212,159.8,100.0,74.9,Cyan Muda
Army Green,#4b5320,75,83,32,69.4,44.3,22.5,Kuning Gelap
Arsenic,#3b444b,59,68,75,206.2,11.9,26.3,Abu-Abu
Arylide Yellow,#e9d66b,233,214,107,51.0,74.1,66.7,Oranye Muda
Ash Grey,#b2beb5,178,190,181,135.0,8.5,72.2,Abu-Abu
Asparagus,#87a96b,135,169,107,92.9,26.5,54.1,Kuning Sedang
Atomic Tangerine,#f96,255,153,102,20.0,100.0,70.0,Merah Muda
Auburn,#a52a2a,165,42,42,0.0,59.4,40.6,Merah Sedang
Aureolin,#fdee00,253,238,0,56.4,100.0,49.6,Oranye Muda
Aurometalsaurus,#6e7f80,110,127,128,183.3,7.6,46.7,Abu-Abu
Avocado,#568203,86,130,3,80.8,95.5,26.1,Kuning Gelap
Azure,#007fff,0,127,255,210.1,100.0,50.0,Cyan Sedang
Azure Mist/Web,#f0ffff,240,255,255,180.0,100.0,97.1,Putih
Baby Blue,#89cff0,137,207,240,199.2,77.4,73.9,Cyan Muda
Baby Blue Eyes,#a1caf1,161,202,241,209.2,74.1,78.8,Cyan Terang
Baby Pink,#f4c2c2,244,194,194,0.0,69.4,85.9,Merah Terang
Ball Blue,#21abcd,33,171,205,191.9,72.3,46.7,Cyan Sedang
Banana Mania,#fae7b5,250,231,181,43.5,87.3,84.5,Oranye Terang
Banana Yellow,#ffe135,255,225,53,51.1,100.0,60.4,Oranye Muda
Barn Red,#7c0a02,124,10,2,3.9,96.8,24.7,Merah Gelap
Battleship Grey,#848482,132,132,130,60.0,0.8,51.4,Abu-Abu
Bazaar,#98777b,152,119,123,352.7,13.8,53.1,Magenta Sedang
Beau Blue,#bcd4e6,188,212,230,205.7,45.7,82.0,Cyan Terang
Beaver,#9f8170,159,129,112,21.7,19.7,53.1,Oranye Sedang
Beige,#f5f5dc,245,245,220,60.0,55.6,91.2,Oranye Terang
Big Dip O’Ruby,#9c2542,156,37,66,345.4,61.7,37.8,Merah Sedang
Bisque,#ffe4c4,255,228,196,32.5,100.0,88.4,Oranye Terang
Bistre,#3d2b1f,61,43,31,24.0,32.6,18.0,Oranye Gelap
Bittersweet,#fe6f5e,254,111,94,6.4,98.8,68.2,Merah Muda
Bittersweet Shimmer,#bf4f51,191,79,81,358.9,46.7,52.9,Merah Sedang
Black,#000,0,0,0,0.0,0.0,0.0,Hitam
Black Bean,#3d0c02,61,12,2,10.2,93.7,12.4,Hitam
Black Leather Jacket,#253529,37,53,41,135.0,17.8,17.6,Abu-Abu
Black Olive,#3b3c36,59,60,54,70.0,5.3,22.4,Abu-Abu
Blanched Almond,#ffebcd,255,235,205,36.0,100.0,90.2,Oranye Terang
Blast-Off Bronze,#a57164,165,113,100,12.0,26.5,52.0,Oranye Sedang
Bleu De France,#318ce7,49,140,231,210.0,79.1,54.9,Cyan Sedang
Blizzard Blue,#ace5ee,172,229,238,188.2,66.0,80.4,Cyan Terang
Blond,#faf0be,250,240,190,50.0,85.7,86.3,Oranye Terang
Blue,#00f,0,0,255,240.0,100.0,50.0,Biru Sedang
Blue Bell,#a2a2d0,162,162,208,240.0,32.9,72.5,Biru Muda
Blue (Crayola),#1f75fe,31,117,254,216.9,99.1,55.9,Cyan Sedang
Blue Gray,#69c,102,153,204,210.0,50.0,60.0,Cyan Muda
Blue-Green,#0d98ba,13,152,186,191.8,86.9,39.0,Cyan Sedang
Blue (Munsell),#0093af,0,147,175,189.6,100.0,34.3,Cyan Sedang
Blue (Ncs),#0087bd,0,135,189,197.1,100.0,37.1,Cyan Sedang
Blue (Pigment),#339,51,51,153,240.0,50.0,40.0,Biru Sedang
Blue (Ryb),#0247fe,2,71,254,223.6,99.2,50.2,Biru Sedang
Blue Sapphire,#126180,18,97,128,196.9,75.3,28.6,Biru Sedang
Blue-Violet,#8a2be2,138,43,226,271.1,75.9,52.7,Ungu Sedang
Blush,#de5d83,222,93,131,342.3,66.2,61.8,Magenta Sedang
Bole,#79443b,121,68,59,8.7,34.4,35.3,Oranye Sedang
Bondi Blue,#0095b6,0,149,182,190.9,100.0,35.7,Cyan Sedang
Bone,#e3dac9,227,218,201,39.2,31.7,83.9,Oranye Terang
Boston University Red,#c00,204,0,0,0.0,100.0,40.0,Merah Gelap
Bottle Green,#006a4e,0,106,78,164.2,100.0,20.8,Hijau Gelap
Boysenberry,#873260,135,50,96,327.5,45.9,36.3,Merah Sedang
Brandeis Blue,#0070ff,0,112,255,213.6,100.0,50.0,Cyan Sedang
Brass,#b5a642,181,166,66,52.2,46.6,48.4,Oranye Sedang
Brick Red,#cb4154,203,65,84,351.7,57.0,52.5,Merah Sedang
Bright Cerulean,#1dacd6,29,172,214,193.6,76.1,47.6,Cyan Sedang
Bright Green,#6f0,102,255,0,96.0,100.0,50.0,Hijau Sedang
Bright Lavender,#bf94e4,191,148,228,272.2,59.7,73.7,Ungu Muda
Bright Maroon,#c32148,195,33,72,345.6,71.1,44.7,Merah Sedang
Bright Pink,#ff007f,255,0,127,330.1,100.0,50.0,Magenta Sedang
Bright Turquoise,#08e8de,8,232,222,177.3,93.3,47.1,Cyan Muda
Bright Ube,#d19fe8,209,159,232,281.1,61.3,76.7,Ungu Muda
Brilliant Lavender,#f4bbff,244,187,255,290.3,100.0,86.7,Ungu Terang
Brilliant Rose,#ff55a3,255,85,163,332.5,100.0,66.7,Magenta Muda
Brink Pink,#fb607f,251,96,127,348.0,95.1,68.0,Magenta Muda
British Racing Green,#004225,0,66,37,153.6,100.0,12.9,Hitam
Bronze,#cd7f32,205,127,50,29.8,60.8,50.0,Merah Sedang
Brown (Traditional),#964b00,150,75,0,30.0,100.0,29.4,Merah Gelap
Brown (Web),#a52a2a,165,42,42,0.0,59.4,40.6,Merah Sedang
Bubble Gum,#ffc1cc,255,193,204,349.4,100.0,87.8,Magenta Terang
Bubbles,#e7feff,231,254,255,182.5,100.0,95.3,Putih
Buff,#f0dc82,240,220,130,49.1,78.6,72.5,Oranye Muda
Bulgarian Rose,#480607,72,6,7,359.1,84.6,15.3,Hitam
Burgundy,#800020,128,0,32,345.0,100.0,25.1,Merah Gelap
Burlywood,#deb887,222,184,135,33.8,56.9,70.0,Oranye Muda
Burnt Orange,#c50,204,85,0,25.0,100.0,40.0,Merah Sedang
Burnt Sienna,#e97451,233,116,81,13.8,77.6,61.6,Merah Sedang
